I1  n. (also i) (pl. Is or i's) 1 ninth letter of the alphabet. 2 (as a roman numeral) 1.
Immerse  v. (-sing) 1 a (often foll. By in) dip, plunge. B submerge (a person). 2 (often refl. Or in passive; often foll. By in) absorb or involve deeply. 3 (often foll. By in) bury, embed. [latin mergo mers- dip]

Immersion  n. 1 immersing or being immersed. 2 baptism by total bodily immersion. 3 mental absorption.

Immersion heater  n. Electric device immersed in a liquid to heat it, esp. In a hot-water tank.

Immigrant  —n. Person who immigrates. —adj. 1 immigrating. 2 of immigrants.

Immigrate  v. Come into a country and settle.  immigration n. [related to *in-2, *migrate]

Imminent  adj. Impending; about to happen (war is imminent).  imminence n. Imminently adv. [latin immineo be impending]

Immiscible  adj. (often foll. By with) not able to be mixed.  immiscibility n.

Immobile  adj. 1 not moving. 2 unable to move or be moved.  immobility n.

Immobilize  v. (also -ise) (-zing or -sing) 1 make or keep immobile. 2 keep (a limb or patient) still for healing purposes.  immobilization n.

Immoderate  adj. Excessive; lacking moderation.  immoderately adv.

Immodest  adj. 1 lacking modesty; conceited. 2 shameless, indecent.  immodestly adv. Immodesty n.

Immolate  v. (-ting) kill or offer as a sacrifice.  immolation n. [latin, = sprinkle with meal]

Immoral  adj. 1 not conforming to accepted morality; morally wrong. 2 sexually promiscuous or deviant.  immorality n. (pl. -ies). Immorally adv.

Immortal  —adj. 1 a living for ever; not mortal. B divine. 2 unfading. 3 famous for all time. —n. 1 a immortal being. B (in pl.) Gods of antiquity. 2 person, esp. An author, remembered long after death.  immortality n. Immortalize v. (also -ise) (-zing or -sing). Immortally adv.

Immovable  adj. (also immoveable) 1 not able to be moved. 2 steadfast, unyielding. 3 emotionless. 4 not subject to change (immovable law). 5 motionless. 6 (of property) consisting of land, houses, etc.  immovability n. Immovably adv.

Immune  adj. 1 a (often foll. By against, from, to) protected against infection through inoculation etc. B relating to immunity (immune system). 2 (foll. By from, to) exempt from or proof against a charge, duty, criticism, etc. [latin immunis exempt]

Immunity  n. (pl. -ies) 1 ability of an organism to resist infection by means of antibodies and white blood cells. 2 (often foll. By from) freedom or exemption.

Immunize  v. (also -ise) (-zing or -sing) make immune, usu. By inoculation.  immunization n.

Immunodeficiency  n. Reduction in normal immune defences.
Immunoglobulin  n. Any of a group of related proteins functioning as antibodies.

Immunology  n. The study of immunity.  immunological adj. Immunologist n.

Immunotherapy  n. Prevention or treatment of disease with substances that stimulate the immune response.

Immure  v. (-ring) 1 imprison. 2 refl. Shut oneself away. [latin murus wall]

Immutable  adj. Unchangeable.  immutability n. Immutably adv.

Imp  n. 1 mischievous child. 2 small devil or sprite. [old english, = young shoot]

Impact  —n. 1 effect of sudden forcible contact between two solid bodies etc.; collision. 2 strong effect or impression. —v. 1 press or fix firmly. 2 (as impacted adj.) (of a tooth) wedged between another tooth and the jaw. 3 (often foll. By on) have an impact on.  impaction n. [latin: related to *impinge]

Impair  v. Damage, weaken.  impairment n. [latin, = make worse, from pejor]

Impala  n. (pl. Same or -s) small african antelope. [zulu]

Impale  v. (-ling) transfix or pierce with a sharp stake etc.  impalement n. [latin palus *pale2]

Impalpable  adj. 1 not easily grasped by the mind; intangible. 2 imperceptible to the touch. 3 (of powder) very fine.  impalpability n. Impalpably adv.

Impanel  var. Of *empanel.

Impart  v. (often foll. By to) 1 communicate (news etc.). 2 give a share of (a thing). [latin: related to *part]

Impartial  adj. Treating all alike; unprejudiced, fair.  impartiality n. Impartially adv.

Impassable  adj. Not able to be traversed.  impassability n. Impassableness n. Impassably adv.

Impasse  n. Deadlock. [french: related to *pass1]

Impassible  adj. 1 impassive. 2 incapable of feeling, emotion, or injury.  impassibility n. Impassibly adv. [latin patior pass- suffer]

Impassioned  adj. Filled with passion; ardent. [italian impassionato: related to *passion]

